,Race,Age,Gender,Location,Year,Count,Population
0,Asian,15–19,F,F4,2010,5.0,134.0
1,Asian,15–19,F,F4,2011,5.0,120.0
2,Asian,15–19,F,F4,2012,2.0,117.0
3,Asian,15–19,F,F4,2013,3.0,108.0
4,Asian,15–19,F,F4,2014,3.0,118.0
5,Asian,15–19,F,F4,2015,2.0,129.0
6,Asian,15–19,F,C3,2010,13.0,1375.0
7,Asian,15–19,F,C3,2011,5.0,1499.0
8,Asian,15–19,F,C3,2012,8.0,1630.0
9,Asian,15–19,F,C3,2013,18.0,1772.0
10,Asian,15–19,F,C3,2014,5.0,1870.0
11,Asian,15–19,F,C3,2015,12.0,2044.0
12,Asian,15–19,F,E5,2010,2.0,25.0
13,Asian,15–19,F,E5,2011,1.0,29.0
14,Asian,15–19,F,E5,2012,0.0,28.0
15,Asian,15–19,F,E5,2013,0.0,24.0
16,Asian,15–19,F,E5,2014,0.0,24.0
17,Asian,15–19,F,E5,2015,1.0,23.0
18,Asian,15–19,F,H6,2010,1.0,43.0
19,Asian,15–19,F,H6,2011,2.0,50.0
20,Asian,15–19,F,H6,2012,1.0,41.0
21,Asian,15–19,F,H6,2013,1.0,50.0
22,Asian,15–19,F,H6,2014,0.0,44.0
23,Asian,15–19,F,H6,2015,1.0,36.0
24,Asian,15–19,F,E4,2010,2.0,243.0
25,Asian,15–19,F,E4,2011,4.0,270.0
26,Asian,15–19,F,E4,2012,4.0,299.0
27,Asian,15–19,F,E4,2013,3.0,318.0
28,Asian,15–19,F,E4,2014,0.0,343.0
29,Asian,15–19,F,E4,2015,0.0,374.0
30,Asian,15–19,F,H1,2010,8.0,102.0
31,Asian,15–19,F,H1,2011,4.0,102.0
32,Asian,15–19,F,H1,2012,2.0,101.0
33,Asian,15–19,F,H1,2013,3.0,103.0
34,Asian,15–19,F,H1,2014,4.0,96.0
35,Asian,15–19,F,H1,2015,3.0,106.0
36,Asian,15–19,F,A4,2010,1.0,5.0
37,Asian,15–19,F,A4,2011,1.0,5.0
38,Asian,15–19,F,A4,2012,1.0,8.0
39,Asian,15–19,F,A4,2013,2.0,12.0
40,Asian,15–19,F,A4,2014,0.0,14.0
41,Asian,15–19,F,A4,2015,0.0,13.0
42,Asian,15–19,F,G5,2010,1.0,23.0
43,Asian,15–19,F,G5,2011,0.0,27.0
44,Asian,15–19,F,G5,2012,1.0,30.0
45,Asian,15–19,F,G5,2013,0.0,37.0
46,Asian,15–19,F,G5,2014,1.0,43.0
47,Asian,15–19,F,G5,2015,1.0,44.0
48,Asian,15–19,F,D1,2010,6.0,16.0
49,Asian,15–19,F,D1,2011,0.0,16.0
50,Asian,15–19,F,D1,2012,1.0,17.0
51,Asian,15–19,F,D1,2013,2.0,17.0
52,Asian,15–19,F,D1,2014,0.0,19.0
53,Asian,15–19,F,D1,2015,0.0,17.0
54,Asian,15–19,F,A3,2010,1.0,16.0
55,Asian,15–19,F,A3,2011,0.0,21.0
56,Asian,15–19,F,A3,2012,3.0,23.0
57,Asian,15–19,F,A3,2013,1.0,31.0
58,Asian,15–19,F,A3,2014,1.0,40.0
59,Asian,15–19,F,A3,2015,2.0,39.0
60,Asian,15–19,F,H5,2010,4.0,1233.0
61,Asian,15–19,F,H5,2011,7.0,1239.0
62,Asian,15–19,F,H5,2012,6.0,1306.0
63,Asian,15–19,F,H5,2013,7.0,1331.0
64,Asian,15–19,F,H5,2014,12.0,1377.0
65,Asian,15–19,F,H5,2015,23.0,1409.0
66,Asian,15–19,F,E1,2010,6.0,78.0
67,Asian,15–19,F,E1,2011,5.0,79.0
68,Asian,15–19,F,E1,2012,4.0,76.0
69,Asian,15–19,F,E1,2013,3.0,69.0
70,Asian,15–19,F,E1,2014,3.0,79.0
71,Asian,15–19,F,E1,2015,4.0,80.0
72,Asian,15–19,F,G3,2010,1.0,41.0
73,Asian,15–19,F,G3,2011,3.0,48.0
